Earthquake ID,Region,Date (dd/mm/yyyy),Filnn-Engdahl Region,Magnitude,Latitude (�N),Longitude (�E),Depth (km),Author,Upload Date (mm/yyyy)
2010251201,Vanuatu,25/12/2010,Vanuatu Islands Region,7.29,-19.7,167.94,16,Hayes (2017),Nov-19
2010211201,Bonin Islands,21/12/2010,"Bonin Islands, Japan Region",7.37,26.8656,143.7392,14,Hayes (2017),Nov-19
2010251001,Sumatra,25/10/2010,"Southern Sumatra, Indonesia",7.76,-3.464,100.084,15,Hayes (2017),Nov-19
2010030901,"Darfield, South Island New Zealand",3/9/2010,"South Island, New Zealand",7.1,-43.55,172.2,10,Atzori et al. (2012),Oct-13
2010100801,Vanuatu Islands,10/8/2010,Vanuatu Islands,7.26,-17.54,168.07,25,Hayes (2017),Nov-19
2010090501,Northern Sumatra,9/5/2010,"Northern Sumatra, Indonesia",7.24,3.75,96.02,38,Hayes (2017),Nov-19
2010060401,Northern Sumatra,6/4/2010,"Northern Sumatra, Indonesia",7.81,2.36,97.132,31,Hayes (2017),Nov-19
2010040401,"El Mayor-Cucapah, Mexico",4/4/2010,Calif.-Baja Calif. Border Region,7.35,32.3,-115.3,10,Mendoza and Hartzell (2013),Feb-16
2010270201,"Maule, Chile",27/02/2010,Near Coast Of Central Chile,8.8,-36.208,-72.963,31.6,Delouis at al. (2010),Sep-13
2010120101,Haiti,12/1/2010,Haiti Region,7.1,18.5076,-72.6375,12.9,Calais et al. (2010),Nov-12
2009071001,Vanuatu,7/10/2009,Vanuatu Islands,7.8,-13.0675,166.1794,39.2,"Hayes (NEIC, Vanuatu 2009)",Aug-13
2008071001,Vanuatu Islands,7/10/2009,Vanuatu Islands,7.6,-13.01,166.51,45,Hayes (2017),Nov-19
2009300901,"Padang, Indonesia",30/09/2009,"Southern Sumatra, Indonesia",7.46,-0.8,99.9,78,Hayes (2017),Nov-19
2009290901,Samoa,29/09/2009,Samoa Islands Region,8,-15.6163,-172.3019,16.9,"Hayes (NEIC, Samoa 2009)",Aug-13
2009030801,Gulf of California,3/8/2009,Gulf Of California,6.9,29.4094,-112.8066,9.2,"Hayes (NEIC, Gulf of California 2009)",Aug-13
2009150701,"Fiordland, New Zealand",15/07/2009,"Off W. Coast Of S. Island, N.Z.",7.82,-45.76,166.56,12,Hayes (2017),Nov-19
2009280501,Offshore Honduras,28/05/2009,North Of Honduras,7.3,16.7786,-86.1808,13.5,Hayes and Ji (Offshore Honduras 2009),Aug-13
2009060401,"L Aquila, Italy",6/4/2009,Central Italy,6.3,42.35,13.38,9.5,Cirella et al. (2009)a,Apr-14
2009030101,Papua,3/1/2009,"Irian Jaya Region, Indonesia",7.65,-0.51,132.78,17,Hayes (2017),Nov-19
2008161101,"Sulawesi, Indonesia",16/11/2008,"Minahassa Peninsula, Sulawesi",7.3,1.3001,122.103,25.5,"Sladen (Caltech, Sulawesi 2008)",Aug-13
2008290901,"Kermedac Islands, New Zealand",29/09/2008,"Kermadec Islands, New Zealand",7,-29.8937,-177.7883,39.5,"Hayes (NEIC, New Zealand 2008)",Aug-13
2008250801,"Zhongba, Tibet",25/08/2008,Xizang,6.7,30.7747,83.4825,7.6,Elliott et al. (2010),Dec-15
2008130601,"Iwate-Miyagi Nairiku, Japan",13/06/2008,"Eastern Honshu, Japan",6.89,39.0298,140.8807,7.8,Asano and Iwata (2011b),Nov-17
2008120501,Wenchuan (China),12/5/2008,"Sichuan, China",7.92,30.858,103.24,10.8,Fielding et al. (2013),Mar-13
2008200301,"Yutian, Tibet",20/03/2008,"Southern Xinjiang, China",7.1,35.4824,81.5146,4.1,Elliott et al. (2010),Dec-15
2008200201,"Simeulue, Indonesia",20/02/2008,Off W Coast Of Northern Sumatra,7.39,2.77,95.96,26,Hayes (2017),Nov-19
2008160101,"Gerze, Tibet",16/01/2008,Xizang,5.9,32.45,85.3,4,Elliott et al. (2010),Dec-15
2008090101,"Gerze, Tibet",9/1/2008,Xizang,6.4,32.41,81.35,7.5,Elliott et al. (2010),Dec-15
2007091201,South Of Fiji Islands,9/12/2007,South Of Fiji Islands,7.83,-26,-177.51,152.5,Hayes (2017),Nov-19
2007141101,"Tocopilla, Chile",14/11/2007,Northern Chile,7.7,-22.34,-70.06,51.8,Bejar-Pizzaro et al. (2010),Oct-13
2007280901,"Volcano Islands, Japan Region",28/09/2007,"Volcano Islands, Japan Region",7.46,22,142.65,276.1,Hayes (2017),Nov-19
2007120901,"Benkulu,Indonesia",12/9/2007,"Southern Sumatra, Indonesia",8.5,-4.52,101.374,21.2,Gusman et al. (2010),Feb-14
2007120902,"Pagai,Indonesia",12/9/2007,"Southern Sumatra, Indonesia",7.86,-2.62,100.84,35,Hayes (2017),Nov-19
2007170701,Niigata-ken Chuetsu-oki,17/08/2007,"Near West Coast Of Honshu, Japan",6.6,37.54,138.61,8.9,Cirella et al. (2008),Apr-14
