Year,Month,Day,Hour,Minute,Second,Longitude,Latitude,Code,Depth,Code,Mb,code,Ms1,Code,Ms2,Code,Mw,Code,MD,Code,ML,Code,Mweq,Code
1906,4,10,21,18,0.0,-110.000,20.000,14,60.0,47,0.0,0,7.2,14,0.0,0,0.0,0,0.0,0,0.0,0,7.4,165
1906,4,10,21,18,0.0,-110.000,20.000,5; 13,0.0,0,0.0,0,7.2,13,7.6,5,0.0,0,0.0,0,0.0,0,7.4,165
1907,4,15,6,8,6.0,-99.200,16.700,2; 7; 15,25.0,7; 15; 20,0.0,0,7.7,14,8.2,5; 7; 103,7.9,4; 41,0.0,0,0.0,0,7.9,164
1907,10,16,14,57,18.0,-112.500,28.000,5; 16,10.0,47,0.0,0,7.5,5,0.0,0,0.0,0,0.0,0,0.0,0,7.8,165
1908,3,26,23,3,30.0,-99.200,16.700,2,Sh,20,0.0,0,7.6,7,7.8,16; 4,0.0,0,0.0,0,0.0,0,7.9,165
1908,3,27,3,45,30.0,-101.000,17.000,5; 2; 7,Sh,7,0.0,0,7.0,14,7.4,5,0.0,0,0.0,0,0.0,0,7.2,165
1908,10,13,5,6,0.0,-102.000,18.000,12; 5; 7,0.0,0,0.0,0,6.9,3,7.2,5,0.0,0,0.0,0,0.0,0,7.1,165
1909,7,30,10,51,54.0,-99.900,16.800,2; 7; 15,50.0,13,0.0,0,7.3,14; 13,7.6,7,7.5,43,0.0,0,0.0,0,7.5,164
1909,7,31,18,43,10.0,-99.500,16.600,2; 7,Sh,7,0.0,0,7.0,14; 7,7.1,4,0.0,0,0.0,0,0.0,0,7.2,165
1909,9,5,11,17,20.0,-99.720,16.530,17,0.0,0,0.0,0,6.6,89,0.0,0,0.0,0,0.0,0,0.0,0,6.8,165
1909,10,31,10,23,0.0,-101.200,17.000,7,Sh,7,0.0,0,6.9,4,0.0,0,0.0,0,0.0,0,0.0,0,7.1,165
1910,5,31,4,57,0.0,-99.200,16.700,7,Sh,7,0.0,0,6.9,7,0.0,0,0.0,0,0.0,0,0.0,0,7.1,165
1910,9,24,3,32,42.0,-95.900,16.770,18,80.0,89,0.0,0,6.9,89; 102,0.0,0,0.0,0,0.0,0,0.0,0,7.1,165
1911,2,3,20,41,55.0,-97.600,17.800,19,80.0,89,0.0,0,7.2,102,6.5,89,0.0,0,0.0,0,0.0,0,7.4,165
1911,6,7,11,2,42.0,-103.700,19.700,2; 7; 15,50.0,13,0.0,0,7.7,5; 14; 103,7.9,2; 7; 4,7.6,43,0.0,0,0.0,0,7.6,164
1911,8,27,10,59,18.0,-96.000,17.000,19,100.0,89,0.0,0,6.7,89,0.0,0,0.0,0,0.0,0,0.0,0,6.9,165
1911,12,16,19,14,18.0,-100.700,16.900,2; 7,50.0,7; 13,0.0,0,7.6,14; 7; 4,7.8,4,7.3,43,0.0,0,0.0,0,7.3,164
