Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Depth,Template Event Magnitude,Detection Magnitude,Event Template ID,Detection ID,Correlation Coefficient
2016,9,21,4,4,4,38.4680,-112.7941,4.20,-0.6,-0.9,20,1609210041,0.5860
2016,9,21,4,4,41,38.4678,-112.7989,5.55,0.1,-0.9,11,1609210042,0.5820
2016,9,21,4,6,52,38.4678,-112.7989,5.55,0.1,-1.4,11,1609210043,0.4580
2016,9,21,4,10,22,38.4680,-112.7941,4.20,-0.6,-1.7,20,1609210044,0.5300
2016,9,21,4,11,11,38.4678,-112.7989,5.55,0.1,-0.7,11,1609210045,0.5230
2016,9,21,4,11,23,38.4676,-112.7968,5.32,1.0,-1.0,04,1609210046,0.3300
2016,9,21,4,11,42,38.4680,-112.7941,4.20,-0.6,-1.0,20,1609210047,0.6170
2016,9,21,4,12,20,38.4680,-112.7941,4.20,-0.6,-1.7,20,1609210048,0.4440
2016,9,21,4,12,44,38.4673,-112.7947,4.39,1.3,-0.0,36,1609210049,0.6610
2016,9,21,4,18,42,38.4678,-112.7969,5.34,1.5,-0.4,03,1609210050,0.4950
2016,9,21,4,19,33,38.4680,-112.7941,4.20,-0.6,-0.9,20,1609210051,0.6480
2016,9,21,4,19,39,38.4680,-112.7960,5.31,1.3,-0.7,14,1609210052,0.4010
2016,9,21,4,20,1,38.4676,-112.7968,5.32,1.0,-1.1,04,1609210053,0.3290
2016,9,21,4,20,10,38.4680,-112.7941,4.20,-0.6,-1.7,20,1609210054,0.4300
2016,9,21,4,20,56,38.4680,-112.7941,4.20,-0.6,-1.5,20,1609210055,0.4530
2016,9,21,4,21,49,38.4678,-112.7989,5.55,0.1,-1.1,11,1609210056,0.6700
2016,9,21,4,22,46,38.4680,-112.7941,4.20,-0.6,-1.2,20,1609210057,0.5680
2016,9,21,4,22,59,38.4680,-112.7941,4.20,-0.6,-1.0,20,1609210058,0.5840
2016,9,21,4,23,13,38.4677,-112.7892,2.44,-0.7,-1.5,58,1609210059,0.5780
2016,9,21,4,23,30,38.4678,-112.7989,5.55,0.1,-1.4,11,1609210060,0.4490
2016,9,21,4,24,15,38.4680,-112.7960,5.31,1.3,-0.9,14,1609210061,0.5760
2016,9,21,4,24,23,38.4678,-112.7969,5.34,1.5,-0.1,03,1609210062,0.6980
2016,9,21,4,25,8,38.4698,-112.7871,1.27,-0.1,-1.0,19,1609210063,0.4560
2016,9,21,4,27,2,38.4680,-112.7941,4.20,-0.6,-0.9,20,1609210064,0.7380
2016,9,21,4,28,39,38.4678,-112.7989,5.55,0.1,-1.4,11,1609210065,0.5460
2016,9,21,4,29,52,38.4680,-112.7941,4.20,-0.6,-1.0,20,1609210066,0.5650
2016,9,21,4,33,59,38.4680,-112.7941,4.20,-0.6,-1.3,20,1609210067,0.5340
2016,9,21,4,35,53,38.4677,-112.7892,2.44,-0.7,-1.8,58,1609210068,0.4730
2016,9,21,4,40,37,38.4680,-112.7941,4.20,-0.6,-1.1,20,1609210069,0.6300
2016,9,21,4,42,12,38.4680,-112.7941,4.20,-0.6,-0.9,20,1609210070,0.6840
2016,9,21,4,42,36,38.4677,-112.7892,2.44,-0.7,-1.4,58,1609210071,0.5660
