Year,Month,Day,Hour,Minute,Second,Magnitude,Longitude,Latitude,Depth
1001.0,,,,,0.0,6.0,11.0,45.3,
1003.0,,,,,,4.2,43.3,40.5,20.0
1008.0,4.0,11.0,,,,6.5,52.348,27.665,
1022.0,4.0,,,,,6.5,113.1,39.8,
1026.0,6.0,16.0,,,,7.5,131.8,34.8,
1036.0,7.0,,,,,5.7,126.3,37.6,
1038.0,1.0,9.0,,,,7.3,112.9,38.4,
1039.0,2.0,2.0,,,,6.8,27.3,38.4,
1042.0,11.0,4.0,13.0,30.0,,7.6,46.3,38.1,15.0
1046.0,,,,,0.0,5.5,43.5,40.5,15.0
1057.0,,,,,,6.8,116.3,39.7,
1067.0,11.0,,,,,6.8,116.5,23.6,
1068.0,8.0,14.0,,,,6.0,116.1,38.5,
1088.0,4.0,22.0,,,,5.3,43.2,41.4,10.0
1088.0,6.0,10.0,,,,7.0,143.0,40.5,
1096.0,12.0,17.0,,,,8.4,137.5,34.0,
1099.0,2.0,22.0,,,,8.4,135.5,33.0,
1101.0,,,,,,6.5,59.0,36.0,10.0
1102.0,2.0,28.0,,,0.0,6.1,62.1,35.0,15.0
1119.0,12.0,10.0,,,0.0,6.5,50.0,36.2,
1125.0,8.0,30.0,,,,7.0,103.7,36.1,
1143.0,4.0,,,,,6.0,106.3,38.5,
1151.0,,,,,0.0,6.2,36.7,32.6,
1160.0,,,,,0.0,6.1,35.5,32.0,
1175.0,,,,,0.0,7.1,65.5,37.5,15.0
1182.0,,,,,0.0,6.7,36.7,32.6,
1202.0,5.0,20.0,,,,7.6,36.0,33.5,
1208.0,7.0,16.0,,,,6.5,57.6,36.3,
1208.0,,,,,,6.1,60.0,42.0,10.0
1209.0,12.0,4.0,,,,6.3,111.8,36.0,
1209.0,,,,,,7.6,58.8,36.0,10.0
1219.0,6.0,2.0,,,,6.5,106.2,36.0,
1227.0,7.0,,,,,5.5,106.3,38.5,
1231.0,3.0,11.0,,,,6.9,28.6,41.0,
1233.0,,,,,,5.6,12.2,45.3,
1241.0,5.0,22.0,,,,7.0,139.4,35.2,
1257.0,10.0,9.0,,,,7.0,139.5,35.2,
1257.0,10.0,9.0,,,,7.5,144.0,39.0,
1267.0,,,,,,5.8,58.8,36.0,10.0
1273.0,9.0,,,,,6.5,19.7,41.3,
1275.0,4.0,14.0,,,,6.7,44.2,42.1,28.0
1277.0,7.0,20.0,,,,5.1,11.0,45.3,
1281.0,,,,,,5.8,58.8,36.1,10.0
1283.0,,,,,,6.3,43.2,41.7,14.0
1290.0,9.0,27.0,,,,6.8,119.3,41.5,
1291.0,8.0,25.0,,,,6.5,111.5,36.1,
1293.0,5.0,27.0,,,,7.1,139.4,35.2,
1300.0,,,,,,6.5,56.0,36.8,
1303.0,8.0,8.0,,,,8.0,27.0,35.0,
1303.0,9.0,17.0,,,,8.0,111.7,36.3,
1304.0,11.0,7.0,,,,6.7,45.5,38.5,
1305.0,5.0,3.0,,,,6.5,113.1,39.8,
1306.0,9.0,12.0,,,,6.5,106.1,35.9,
1310.0,,,,,,5.5,46.0,35.6,
1314.0,10.0,5.0,,,,6.0,113.8,36.5,
1327.0,9.0,,,,,4.8,102.7,30.1,
1331.0,8.0,15.0,,,,7.0,135.2,33.7,
1336.0,10.0,21.0,1.0,30.0,,7.6,59.7,34.7,
1337.0,9.0,8.0,,,,6.5,115.7,40.4,
1341.0,1.0,1.0,,,,6.0,34.3,44.3,
1341.0,10.0,31.0,,,,7.0,139.5,41.0,
1343.0,10.0,18.0,,,,7.5,28.3,40.8,
1350.0,,,,,0.0,6.5,43.0,43.0,20.0
1351.0,5.0,14.0,,,,5.5,113.0,37.3,
1352.0,4.0,18.0,,,,7.0,105.3,35.6,
1360.0,11.0,22.0,,,,7.0,136.2,33.4,
1361.0,8.0,3.0,,,,8.4,135.0,33.0,
1361.0,,,,,,5.0,115.3,28.8,
1368.0,7.0,8.0,,,,6.0,112.5,37.6,
1372.0,8.0,16.0,,,,4.8,118.8,32.0,
1385.0,8.0,1.0,,,,6.3,126.3,37.6,
1389.0,1.0,20.0,,,0.0,5.8,58.5,36.2,10.0
1389.0,2.0,,,,0.0,7.6,58.8,36.2,
1390.0,5.0,,,,,6.1,64.4,39.8,20.0
1403.0,12.0,,,,,7.0,136.5,33.7,
1405.0,1.0,29.0,,,0.0,6.7,58.8,36.0,15.0
1406.0,10.0,16.0,,,,6.2,138.4,34.4,
1408.0,1.0,21.0,,,,7.0,136.9,33.8,
1433.0,11.0,7.0,,,,7.1,139.5,34.9,
1440.0,10.0,26.0,,,,6.3,103.3,36.2,
1440.0,,,,,0.0,6.5,53.1,28.3,
1445.0,12.0,12.0,,,,6.3,117.6,24.5,
1448.0,9.0,19.0,,,,7.0,138.2,37.5,
1455.0,1.0,24.0,,,0.0,6.3,126.5,35.9,
1471.0,,,,,,8.0,-71.0,-16.3,25.0
1475.0,,,,,,6.4,75.2,42.6,5.0
1478.0,8.0,17.0,,,,5.5,101.6,27.5,
