Year,Month,Day,Hour,Minute,Second,Magnitude,Longitude,Latitude,Depth
1564,4.0,20.0,,,,7.0,-70.517,19.217,
1568,12.0,27.0,,,,7.1,-103.5,20.2,
1570,2.0,8.0,5.0,,,8.0,-73.0,-36.75,
1575,3.0,17.0,6.0,,,7.25,-70.6,-33.4,
1575,12.0,16.0,18.0,30.0,,8.25,-73.2,-39.8,
1577,11.0,29.0,,,,7.2,-92.5,14.0,
1578,8.0,,,,,6.7,-76.0,19.9,30.0
1581,,,,,,7.6,-77.7,-12.4,30.0
1582,1.0,22.0,16.0,30.0,,7.5,-71.6,-16.6,30.0
1582,8.0,15.0,,,,7.8,-77.6,-12.2,30.0
1584,3.0,17.0,,,,8.4,-77.8,-11.8,30.0
1585,6.0,28.0,2.0,,,7.06,24.372,39.786,
1586,1.0,16.0,,,,7.0,136.9,36.6,
1586,1.0,18.0,1.0,,,7.8,136.9,36.0,
1586,7.0,10.0,0.0,30.0,,8.6,-77.028,-12.109,40.0
1588,1.0,4.0,,,,7.2,36.0,29.0,
1588,8.0,9.0,,,,7.0,102.8,24.0,
1590,,,,,,7.7,-72.9,-17.2,40.0
1591,3.0,14.0,,,,7.0,-92.5,16.0,0.0
1595,4.0,21.0,10.0,,,7.1,26.6,45.7,150.0
1596,9.0,4.0,19.0,,,7.0,131.6,33.3,
1596,9.0,5.0,1.0,,,7.5,135.6,34.65,
1597,10.0,6.0,,,,7.0,120.0,38.5,
1600,2.0,19.0,10.0,,,7.9,-70.9,-16.77,20.0
1600,2.0,28.0,20.0,,,8.1,-70.8,-16.6,20.0
1600,9.0,29.0,,,,7.0,117.2,23.5,
1604,11.0,24.0,18.0,30.0,,8.25,-70.94,-17.88,80.0
1604,12.0,29.0,,,,7.5,119.0,24.7,
1605,2.0,3.0,20.0,,,7.9,138.5,33.5,
1605,7.0,13.0,,,,7.5,110.5,20.0,
1606,3.0,23.0,20.0,,,6.5,-80.3,-7.0,40.0
1606,10.0,25.0,13.0,,,6.8,-77.8,-11.8,60.0
1608,4.0,20.0,,,,7.6,50.5,36.4,
1609,,,,,,7.2,-86.55,12.42,
1609,4.0,,,,,7.2,29.0,36.2,
1609,7.0,11.0,,,,7.25,99.0,39.2,
1609,10.0,20.0,1.0,,,7.4,-77.4,-11.9,55.0
1610,2.0,3.0,,,,7.6,-71.65,8.45,
1611,8.0,31.0,,,,7.4,-97.64,17.825,
1611,12.0,2.0,14.0,,,8.1,144.0,39.0,
1612,11.0,8.0,,,,7.2,23.8,35.0,
1614,11.0,26.0,,,,7.7,138.0,37.5,
1615,9.0,8.0,,,,7.5,-69.9,18.4,30.0
1615,9.0,16.0,,,,7.5,-70.35,-18.5,
1616,2.0,,,,,7.0,-74.0,5.0,
1616,9.0,9.0,15.0,,,7.0,142.0,38.1,
1619,2.0,14.0,16.0,30.0,,7.85,-79.3,-8.9,50.0
1619,11.0,30.0,16.0,,,8.0,121.6,18.5,
1621,5.0,2.0,,,,6.9,-79.55,8.97,
1621,12.0,,,,,7.2,122.1,11.7,
1622,10.0,25.0,,,,7.0,106.3,36.5,
1624,5.0,11.0,,,,6.7,-4.57,34.26,
1626,1.0,21.0,,,,7.3,37.1,36.5,20.0
1626,6.0,28.0,,,,7.0,114.2,39.4,
1627,9.0,,,,,7.5,121.8,18.7,
1629,8.0,1.0,1.0,30.0,,8.8,129.6,-4.3,
1630,3.0,9.0,9.0,,,7.3,23.7,35.0,
1630,11.0,27.0,15.0,30.0,,7.5,-77.5,-12.2,30.0
1633,3.0,1.0,5.0,,,7.0,139.2,35.2,
1637,2.0,1.0,1.0,,,7.1,26.6,45.7,130.0
1638,3.0,27.0,15.0,5.0,,7.02,16.289,39.048,
1644,1.0,16.0,11.0,,,7.0,-72.7,7.4,
1644,5.0,12.0,12.0,,,7.0,128.4,-3.85,
1645,3.0,15.0,,,,7.0,-78.8,-1.73,
1645,11.0,30.0,12.0,30.0,,7.9,121.2,15.6,
1647,5.0,14.0,2.0,30.0,,8.0,-72.0,-33.0,
1648,,,,,,7.2,-86.8,12.5,
1648,2.0,2.0,,,,7.0,122.95,-8.4,
1648,6.0,13.0,12.0,,,7.0,139.2,35.2,
1649,3.0,17.0,12.0,,,7.0,132.5,33.7,
1649,7.0,30.0,1.0,,,7.0,139.5,35.8,
1650,3.0,31.0,16.0,10.0,,7.4,-72.2,-13.6,70.0
1650,3.0,31.0,19.0,,,7.2,-71.7,-13.5,30.0
1651,,,,,,7.3,-85.2,11.2,
1652,7.0,13.0,,,,7.0,100.6,25.2,
1654,,,,,,7.0,95.6,30.8,
1654,7.0,21.0,,,,8.0,105.5,34.3,
1655,11.0,13.0,19.0,45.0,,7.7,-77.6,-12.3,30.0
1657,3.0,15.0,23.0,30.0,,8.0,-73.03,-36.83,
1658,2.0,14.0,,,,7.7,-80.1,-8.2,40.0
1659,2.0,17.0,,,,7.1,27.256,40.713,
1659,12.0,,,,,7.5,127.0,-4.2,
1662,6.0,16.0,12.0,,,7.4,135.95,35.2,
1662,10.0,31.0,,,,7.6,132.0,31.7,
1663,,,,,,7.3,-86.55,12.42,
1663,2.0,5.0,22.0,30.0,,6.7,-70.1,47.6,
1664,,,,,,7.7,90.0,25.0,
1664,5.0,12.0,9.0,15.0,,7.3,-75.85,-14.1,15.0
