Earthquake ID,Region,Date (dd/mm/yyyy),Filnn-Engdahl Region, ,Magnitude,Latitude (°N),Longitude (°E),Depth (km),Author,Upload Date (mm/yyyy)
1996121101,Nazca Ridge (Peru),12/11/1996,Near coast of Peru,,7.70,-14.9730,-75.5700,21.0,Hayes (2017),10/2019
1996191001,Hyuga-nada1 (Japan),19/10/1996,"Southeast of Shikoku, Japan",,6.81,31.8350,131.9580,11.6,Yagi et al. (1999),10/2012
1996030701,"Pumqu-Xainza, Tibet",03/07/1996,Xizang,,6.08,30.1456,88.2894,8.3,Wang et al. (2014),12/2015
1995311001,Taiwan (9510312227P000),31/10/1995,Taiwan,,4.93,23.2910,120.3590,10.7,Ma and Wu (2001),05/2020
1995091001,Colima (Mexico),09/10/1995,Southeastcentral Pacific Ocean,,7.89,18.8640,-104.5790,16.0,Hayes (2017),10/2019
1995140901,"Copala, Mexico",14/09/1995,"Near Coast Of Guerrero, Mexico",,7.30,16.4800,-98.7600,15.9,Courboulex et al. (1997),06/2015
1995140701,Taiwan (9507141652),14/07/1995,Taiwan,,5.07,24.3680,121.7430,9.8,Ma and Wu (2001),05/2020
1995170101,Kobe (Japan),17/01/1995,"Near south coast of western Honshu, Japan",,6.80,34.6000,135.0400,14.0,Cho and Nakanishi (2000),10/2012
1994281201,Sanrikuki (Japan),28/12/1994,"Off east coast of Honshu, Japan",,7.72,40.4500,143.4900,26.0,Hayes (2017),10/2019
1994050601,Nanao (Taiwan),05/06/1994,Taiwan,,6.28,24.4680,121.7870,5.1,Ma and Wu (2001),05/2020
1994060401,Taiwan (9404060112P160),06/04/1994,Taiwan,,4.54,23.5330,120.4210,13.4,Ma and Wu (2001),05/2020
1994170101,Northridge (Calif.),17/01/1994,"Southern California, United States",,6.66,34.2130,-118.5370,17.5,Dreger (1994),11/2012
1993151201,Tapu (Taiwan),15/12/1993,Taiwan,,5.65,23.1940,120.5070,15.2,Ma and Wu (2001),05/2020
1993120701,Hokkaido-nansei-oki (Japan),12/07/1993,"Hokkaido, Japan, region",,7.70,42.8120,139.1330,17.0,Hayes (2017),11/2019
1993200301,"Pumqu-Xainza, Tibet",20/03/1993,Xizang,,6.29,29.0464,87.4905,8.3,Wang et al. (2014),12/2015
1992290601,Little Skull Mnts (Nevada),29/06/1992,California-Nevada border region,,5.63,36.4316,-116.1776,11.8,Silva et al. (2003),11/2012
1992280601,Landers (Calif.),28/06/1992,"Southern California, United States",,7.08,34.2000,-116.4300,5.0,Cohee and Beroza (1994),11/2012
1992230401,Joshua Tree (Calif.),23/04/1992,"Southern California, United States",,6.25,33.9660,-116.3170,12.5,Bennet et al. (1995),11/2012
1991280601,Sierra Madre (Calif.),28/06/1991,"Southern California, United States",,5.59,34.2640,-117.9900,20.9,Wald (1992),11/2012
1990050401,Mariana Islands Region,05/04/1990,Mariana Islands Region,,7.37,15.2300,147.5300,11.0,Hayes (2017),10/2019
1989251201,Ungava (Canada),25/12/1989,"Northern Quebec, Canada",,6.02,60.1200,-73.6000,2.5,Hartzell et al. (1994),11/2012
1989181001,Loma Prieta (Calif.),18/10/1989,"Central California, United States",,6.95,37.0410,-121.8830,17.6,Beroza (1991),11/2012
1988251101,Saguenay (Canada),25/11/1988,"Southern Quebec, Canada",,5.81,48.1170,-71.1840,26.0,Hartzell et al. (1994),11/2012
1987241101,Superstition Hills (Calif.),24/11/1987,"Southern California, United States",,6.60,33.0166,-115.8500,10.0,Larsen et al. (1992),11/2012
1987241102,Elmore Ranch (Calif.),24/11/1987,"Southern California, United States",,6.52,33.0833,-115.7960,10.0,Larsen et al. (1992),11/2012
1987011001,Whittier Narrows (Calif.),01/10/1987,"Southern California, United States",,5.89,34.0500,-118.0800,14.6,Hartzell and Iida (1990),11/2012
1986080701,North Palm Springs (Calif.),08/07/1986,"Southern California, United States",,6.21,34.0000,-116.5700,11.0,Hartzell (1989),11/2012
1985231201,Nahanni2 (Canada),23/12/1985,"Northwest Territories, Canada",,6.66,62.1870,-124.2400,8.0,Hartzell et al. (1994),11/2012
1985051001,Nahanni1 (Canada),05/10/1985,"Northwest Territories, Canada",,6.66,62.2080,-124.2170,8.0,Hartzell et al. (1994),11/2012
1985210901,Zihuatanejo (Mexico),21/09/1985,"Near coast of Guerrero, Mexico",,7.42,17.5980,-101.8190,20.0,Mendoza (1993),11/2012
1985190901,Michoacan (Mexico),19/09/1985,"Michoacan, Mexico",,8.01,18.1800,-102.5700,17.0,Mendoza and Hartzell (1989),11/2012
1985030301,Central Chile (Chile),03/03/1985,Near coast of central Chile,,8.16,-33.1250,-71.6100,40.0,Mendoza et al. (1994),11/2012
1984140901,Nagano-ken seibu (Japan),14/09/1984,"Eastern Honshu, Japan",,6.29,35.8200,137.4900,3.0,Takeo and Mikami (1987),11/2012
1984240401,Morgan Hill (Calif.),24/04/1984,"Central California, United States",,6.28,37.3170,-121.6820,8.5,Beroza and Spudich (1988),11/2012
1983281001,Borah Peak (Idaho),28/10/1983,"Eastern Idaho, United States",,6.82,44.0600,-113.8600,16.0,Mendoza and Hartzell (1988),11/2012
1983260501,Japanea-chubu (Japan),26/05/1983,"Near West Coast Of Honshu, Japan",,7.58,40.3570,139.0770,8.1,Fukuyama and Irikura (1986),11/2014
1982090101,New Brunswick (Canada),09/01/1982,"New Brunswick, Canada",,5.47,46.9840,-66.6560,8.0,Hartzell et al. (1994),11/2012
1981251001,Playa Azul (Mexico),25/10/1981,"Near coast of Michoacan, Mexico",,7.25,17.7420,-102.2380,15.0,Mendoza (1993),11/2012
1980290601,Izu-hanto-toho-oki (Japan),29/06/1980,"Near south coast of eastern Honshu, Japan",,6.61,34.9231,139.1855,8.0,Takeo (1988),11/2012
1979151001,Imperial Valley (Calif.),15/10/1979,California-Baja California border region,,6.53,32.6440,-115.3090,8.0,Archuleta (1984),03/2013
1979060801,Coyote Lake (Calif.),06/08/1979,"Central California, United States",,5.92,36.9700,-121.5100,8.0,Liu and Helmberger (1983),11/2012
1979140301,Petatlan (Mexico),14/03/1979,"Near coast of Guerrero, Mexico",,7.39,17.4600,-101.4600,15.0,Mendoza (1995),11/2012
1978160901,Tabas (Iran),16/09/1978,Northern and central Iran,,7.09,33.2200,57.3600,5.5,Hartzell and Mendoza (1991),11/2012
1978120601,Miyagiki (Japan),12/06/1978,"Near east coast of eastern Honshu, Japan",,7.61,38.1500,142.1670,37.0,Yamanaka and Kikuchi (2004),11/2012
1975210401,Oita-ken-chubu (Japan),21/04/1975,"Kyushu, Japan",,6.36,33.1500,131.3000,8.5,Takeo (1990),11/2012
