Earthquake ID,Region,Date (dd/mm/yyyy),Filnn-Engdahl Region, ,Magnitude,Latitude (°N),Longitude (°E),Depth (km),Author,Upload Date (mm/yyyy)
2010090501,Northern Sumatra,09/05/2010,"Northern Sumatra, Indonesia",,7.24,3.7500,96.0200,38.0,Hayes (2017),11/2019
2010060401,Northern Sumatra,06/04/2010,"Northern Sumatra, Indonesia",,7.81,2.3600,97.1320,31.0,Hayes (2017),11/2019
2010040401,"El Mayor-Cucapah, Mexico",04/04/2010,Calif.-Baja Calif. Border Region,,7.35,32.3000,-115.3000,10.0,Mendoza and Hartzell (2013),02/2016
2010270201,"Maule, Chile",27/02/2010,Near Coast Of Central Chile,,8.80,-36.2080,-72.9630,31.6,Delouis at al. (2010),09/2013
2010120101,Haiti,12/01/2010,Haiti Region,,7.10,18.5076,-72.6375,12.9,Calais et al. (2010),11/2012
2009071001,Vanuatu,07/10/2009,Vanuatu Islands,,7.80,-13.0675,166.1794,39.2,"Hayes (NEIC, Vanuatu 2009)",08/2013
2008071001,Vanuatu Islands,07/10/2009,Vanuatu Islands,,7.60,-13.0100,166.5100,45.0,Hayes (2017),11/2019
2009300901,"Padang, Indonesia",30/09/2009,"Southern Sumatra, Indonesia",,7.46,-0.8000,99.9000,78.0,Hayes (2017),11/2019
2009290901,Samoa,29/09/2009,Samoa Islands Region,,8.00,-15.6163,-172.3019,16.9,"Hayes (NEIC, Samoa 2009)",08/2013
2009030801,Gulf of California,03/08/2009,Gulf Of California,,6.90,29.4094,-112.8066,9.2,"Hayes (NEIC, Gulf of California 2009)",08/2013
2009150701,"Fiordland, New Zealand",15/07/2009,"Off W. Coast Of S. Island, N.Z.",,7.82,-45.7600,166.5600,12.0,Hayes (2017),11/2019
2009280501,Offshore Honduras,28/05/2009,North Of Honduras,,7.30,16.7786,-86.1808,13.5,Hayes and Ji (Offshore Honduras 2009),08/2013
2009060401,"L Aquila, Italy",06/04/2009,Central Italy,,6.30,42.3500,13.3800,9.5,Cirella et al. (2009)a,04/2014
2009030101,Papua,03/01/2009,"Irian Jaya Region, Indonesia",,7.65,-0.5100,132.7800,17.0,Hayes (2017),11/2019
2008161101,"Sulawesi, Indonesia",16/11/2008,"Minahassa Peninsula, Sulawesi",,7.30,1.3001,122.1030,25.5,"Sladen (Caltech, Sulawesi 2008)",08/2013
2008290901,"Kermedac Islands, New Zealand",29/09/2008,"Kermadec Islands, New Zealand",,7.00,-29.8937,-177.7883,39.5,"Hayes (NEIC, New Zealand 2008)",08/2013
2008250801,"Zhongba, Tibet",25/08/2008,Xizang,,6.70,30.7747,83.4825,7.6,Elliott et al. (2010),12/2015
2008130601,"Iwate-Miyagi Nairiku, Japan",13/06/2008,"Eastern Honshu, Japan",,6.89,39.0298,140.8807,7.8,Asano and Iwata (2011b),11/2017
2008120501,Wenchuan (China),12/05/2008,"Sichuan, China",,7.92,30.8580,103.2400,10.8,Fielding et al. (2013),03/2013
2008200301,"Yutian, Tibet",20/03/2008,"Southern Xinjiang, China",,7.10,35.4824,81.5146,4.1,Elliott et al. (2010),12/2015
2008200201,"Simeulue, Indonesia",20/02/2008,Off W Coast Of Northern Sumatra,,7.39,2.7700,95.9600,26.0,Hayes (2017),11/2019
2008160101,"Gerze, Tibet",16/01/2008,Xizang,,5.90,32.4500,85.3000,4.0,Elliott et al. (2010),12/2015
2008090101,"Gerze, Tibet",09/01/2008,Xizang,,6.40,32.4100,81.3500,7.5,Elliott et al. (2010),12/2015
2007091201,South Of Fiji Islands,09/12/2007,South Of Fiji Islands,,7.83,-26.0000,-177.5100,152.5,Hayes (2017),11/2019
2007141101,"Tocopilla, Chile",14/11/2007,Northern Chile,,7.70,-22.3400,-70.0600,51.8,Bejar-Pizzaro et al. (2010),10/2013
2007280901,"Volcano Islands, Japan Region",28/09/2007,"Volcano Islands, Japan Region",,7.46,22.0000,142.6500,276.1,Hayes (2017),11/2019
2007120901,"Benkulu,Indonesia",12/09/2007,"Southern Sumatra, Indonesia",,8.50,-4.5200,101.3740,21.2,Gusman et al. (2010),02/2014
2007120902,"Pagai,Indonesia",12/09/2007,"Southern Sumatra, Indonesia",,7.86,-2.6200,100.8400,35.0,Hayes (2017),11/2019
2007170701,Niigata-ken Chuetsu-oki,17/08/2007,"Near West Coast Of Honshu, Japan",,6.60,37.5400,138.6100,8.9,Cirella et al. (2008),04/2014
2007150801,"Pisco, Peru",15/08/2007,Near Coast Of Peru,,8.17,-13.3900,-76.6000,39.0,Hayes (2017),11/2019
2007010401,Solomon Islands,01/04/2007,Solomon Islands,,8.20,-8.4600,157.0400,10.0,Hayes (2017),11/2019
2007250301,"Noto Hanto, Japan",25/03/2007,"Near West Coast Of Honshu, Japan",,6.73,37.2170,136.7019,9.6,Asano and Iwata (2011),02/2016
2007210101,Molucca Sea,21/01/2007,Northern Molucca Sea,,7.45,1.0700,126.2800,22.0,Hayes (2017),11/2019
2007130101,Kuril Islands,13/01/2007,East Of Kuril Islands,,8.18,46.2400,154.5200,7.5,Hayes (2017),11/2019
2006261202,Pingtung evnt2 (Taiwan),26/12/2006,Taiwan Region,,6.80,21.9700,120.4200,50.2,Yen et al. (2008),06/2015
2006261201,Pingtung evnt1 (Taiwan),26/12/2006,Taiwan Region,,6.90,21.6900,120.5600,44.1,Yen et al. (2008),06/2015
2006151101,Kuril Islands,15/11/2006,Kuril Islands,,8.29,46.5100,153.3900,15.3,Hayes (2017),11/2019
2006170701,"Java, Indonesia",17/07/2006,"South Of Java, Indonesia",,7.70,-9.2500,107.4100,12.0,Hayes (2017),11/2019
2005081001,"Kashmir, Pakistan",08/10/2005,Pakistan,,7.60,34.4905,73.6253,10.9,"Konca (Caltech, Kashmir 2005)",08/2013
2005160801,"Honshu , Japan",16/08/2005,"Near East Coast Of Honshu, Japan",,7.50,38.2398,142.0458,34.5,"Shao and Ji (UCSB, Honshu 2005)",08/2013
2005150601,Northern Californi,15/06/2005,Off Coast Of Northern California,,7.20,41.2932,-125.9812,9.0,"Shao and Ji (UCSB, Northern California 2005)",09/2013
2005200401,Fukuoka (Japan),20/04/2005,"Kyushu, Japan",,5.57,33.6700,130.2900,13.0,Asano and Iwata (2006),05/2016
2005070401,"Zhongba, Tibet",07/04/2005,Xizang,,6.20,29.7600,90.4300,6.0,Elliott et al. (2010),12/2015
2005280301,Sumatra,28/03/2005,"Northern Sumatra, Indonesia",,8.59,1.9500,96.9100,28.5,Hayes (2017),11/2019
2005200301,Fukuoka (Japan),20/03/2005,"Kyushu, Japan",,6.64,33.7500,130.1600,14.0,Asano and Iwata (2006),05/2016
