Year,Month,Day,Hour,Minute,Second,Magnitude,Latitude,Longitude,Depth
2007,7,17,6,11,41,4.5,-2.773,35.9924,16
2007,7,17,6,53,9,3.9,-2.6765,36.1329,0
2007,7,17,10,34,34,3.7,-2.7879,36.2281,10
2007,7,17,10,35,58,4.3,-2.741,36.1143,6.6
2007,7,17,11,17,3,4.5,-2.838,36.182,10
2007,7,17,14,10,43,5.9,-2.82,36.38,9
2007,7,17,18,27,51,5.3,-2.809,36.2488,11.75
2007,7,18,0,22,45,4.4,-2.7861,36.217,4
2007,7,18,8,48,25,4.3,-2.7272,36.0663,3.7
2007,7,18,9,6,42,3.8,-2.6551,36.1078,10
2007,7,18,10,7,50,4,-2.8269,36.2245,12
2007,7,18,10,29,16,4.5,-2.772,36.0692,7.2
2007,7,18,11,11,16,4.4,-2.6147,36.0259,10
2007,7,18,16,43,26,4,-2.6512,35.9891,8.9
2007,7,18,16,46,6,4,-2.7932,36.1566,1.7
2007,7,18,17,25,52,5.2,-2.8864,36.1308,12
2007,7,19,2,14,11,3.9,-2.786,36.052,10
2007,7,19,4,0,35,3.9,-2.8544,36.065,32
2007,7,19,21,7,21,4.1,-2.7818,36.0149,25.2
2007,7,20,18,14,13,4.3,-2.8236,36.1965,8.6
2007,7,21,11,13,40,4.3,-2.7748,36.1382,10
2007,7,21,17,0,23,4,-2.8349,36.1331,16.9
2007,7,22,0,36,24,4.2,-2.7543,35.9562,10
2007,7,22,10,28,51,4.1,-2.8493,36.0646,4.3
2007,7,22,15,58,44,4.3,-2.6931,35.9985,9.4
2007,7,22,22,29,59,4,-2.7623,36.0953,6.9
2007,7,25,15,39,6,4.2,-2.5772,36.1334,6.25
2007,7,25,17,3,45,4.2,-2.71,35.8884,10
2007,7,25,19,29,38,3.6,-2.5057,36.0693,0
2007,7,25,23,18,44,4.2,-2.7609,36.214,1.8
2007,7,26,18,54,36,5.2,-2.7051,36.0701,10.25
2007,7,26,19,57,0,3.9,-2.7893,36.2956,0
2007,7,27,21,26,33,3.6,-2.6603,35.7875,0
2007,7,27,21,59,2,3.7,-2.8853,36.1173,12
2007,7,28,20,11,34,4.1,-2.7267,36.2186,21.25
2007,7,30,13,17,8,4.1,-2.771,36.076,10
2007,7,31,21,9,21,4,-3.0437,36.2636,7.5
2007,8,7,0,15,2,4.1,-4.6655,35.7396,10
2007,8,8,0,7,48,4.4,-2.8578,36.148,12
2007,8,9,5,54,19,4.4,-2.7487,36.2235,10
2007,8,11,17,26,3,4,-2.8807,36.3705,10
2007,8,17,11,29,43,3.1,-21.333,32.939,5
2007,8,17,23,27,25,4.3,-2.8624,36.0902,12
2007,8,18,0,24,25,3.8,-2.712,36.0717,0
2007,8,18,7,44,1,5.2,-2.84,36.17,8
2007,8,19,17,58,31,4.2,-2.6237,36.1277,8.75
2007,8,20,2,46,50,4.1,-2.5422,36.2009,7.75
2007,8,20,2,56,47,5.4,-2.7922,36.2114,8
2007,8,20,6,38,43,4.5,-2.3172,36.256,10
2007,8,20,7,15,35,4.3,-2.709,36.0557,10
2007,8,20,7,34,9,4,-2.3863,36.243,8
2007,8,21,7,5,48,4.3,-2.8945,36.6763,0
2007,8,21,18,36,6,3.9,-2.6714,36.1104,7.5
2007,8,22,14,32,21,3.9,-2.7611,36.189,12
2007,8,24,23,45,54,3.9,-2.6142,36.1942,7.75
2007,8,30,18,49,35,4.2,-2.7239,36.1271,10
2007,9,2,19,3,57,4.4,-1.2782,28.1062,10
