Year,Month,Day,Hour,Minute,Second,Magnitude,Latitude,Longitude,Depth
2020,12,24,11,23,46,1.1,38.38179,22.02291,7.141
2020,12,24,11,26,04,1.5,38.38194,22.02240,7.145
2020,12,24,13,05,59,1.4,38.37708,22.02554,6.518
2020,12,24,13,11,04,2.3,38.37810,22.01288,6.787
2020,12,24,13,15,05,1.3,38.37735,22.01603,6.668
2020,12,24,13,16,17,2.2,38.37920,22.01202,6.825
2020,12,24,13,19,30,1.1,38.38260,22.02099,7.365
2020,12,24,13,29,29,2.5,38.37747,22.01255,6.675
2020,12,24,13,42,45,2.0,38.38037,22.00894,6.786
2020,12,24,13,44,47,1.7,38.37733,22.01550,6.667
2020,12,24,13,44,58,1.6,38.37719,22.01628,6.678
2020,12,24,13,45,48,2.0,38.37931,22.01544,6.650
2020,12,24,14,18,29,1.7,38.37964,22.01121,6.749
2020,12,24,14,36,09,2.0,38.37594,22.00066,6.784
2020,12,24,14,55,27,2.2,38.37917,22.01500,6.858
2020,12,24,15,26,44,2.3,38.37919,22.01216,6.719
2020,12,24,15,30,07,2.1,38.37862,22.01105,6.746
2020,12,24,15,43,00,2.0,38.38238,22.02248,7.378
2020,12,24,17,43,08,1.0,38.38200,21.99726,6.927
2020,12,24,17,49,58,1.0,38.38221,21.99643,6.926
2020,12,24,17,52,48,1.8,38.38311,21.99871,6.789
2020,12,24,17,54,09,1.4,38.38334,22.01879,7.362
2020,12,24,18,36,00,1.5,38.38173,22.03547,7.234
2020,12,24,18,48,21,1.8,38.37756,22.02976,7.009
2020,12,24,19,56,33,1.5,38.38037,22.01326,6.764
2020,12,24,20,22,05,1.3,38.38112,22.01525,7.471
2020,12,24,20,31,08,1.1,38.37932,22.01251,6.759
2020,12,24,20,43,27,1.1,38.37690,22.02893,6.717
2020,12,24,21,28,11,1.8,38.38399,22.02714,7.171
2020,12,24,21,51,20,1.4,38.38488,22.02561,7.319
2020,12,24,22,01,02,0.4,38.38420,22.02735,7.207
2020,12,24,22,46,02,2.6,38.38199,22.02571,7.523
2020,12,24,22,49,42,0.9,38.38367,22.01340,6.701
2020,12,25,00,32,09,1.5,38.37631,21.99779,6.869
2020,12,25,01,27,33,0.4,38.37409,22.02653,6.064
2020,12,25,01,27,59,1.0,38.37519,22.02483,6.498
2020,12,25,03,25,11,1.4,38.37838,22.02074,7.112
2020,12,25,03,43,29,1.2,38.37518,22.02271,6.503
2020,12,25,04,04,29,1.4,38.38428,22.01907,6.577
2020,12,25,04,49,53,1.8,38.37847,22.02846,7.047
2020,12,25,07,15,06,1.9,38.37518,22.02498,6.501
2020,12,25,07,23,31,0.5,38.39914,21.91451,7.510
2020,12,25,08,33,04,1.9,38.37651,22.02441,6.429
2020,12,25,08,36,25,1.4,38.37370,22.01524,6.626
2020,12,25,08,40,06,2.1,38.37432,22.01472,6.651
2020,12,25,09,55,07,1.8,38.37922,22.00450,6.723
2020,12,25,10,53,41,1.7,38.38074,22.02132,7.431
2020,12,25,11,25,14,1.3,38.37914,22.02356,6.631
2020,12,25,11,29,32,2.2,38.38372,22.01535,7.145
2020,12,25,11,40,43,1.4,38.37828,22.02462,6.638
2020,12,25,12,04,12,1.3,38.42460,22.00851,10.738
2020,12,25,12,12,50,1.3,38.38391,22.01193,7.049
2020,12,25,12,19,18,2.5,38.37579,21.99593,6.733
2020,12,25,12,49,37,1.3,38.38383,22.01168,7.050
2020,12,25,13,01,47,1.4,38.37608,21.99434,6.809
2020,12,25,14,06,48,1.2,38.37822,22.02557,6.625
2020,12,25,14,07,41,1.5,38.37682,22.01925,6.710
2020,12,25,14,16,39,1.3,38.38406,21.99687,6.798
2020,12,25,14,26,55,1.7,38.37489,22.02042,6.522
2020,12,25,14,37,05,1.1,38.37981,22.02508,6.940
2020,12,25,15,12,13,1.6,38.37908,22.02338,6.636
2020,12,25,15,28,50,1.2,38.37591,21.99503,6.785
2020,12,25,16,31,14,1.3,38.37383,22.01239,6.113
2020,12,25,16,44,58,1.3,38.37567,22.02049,6.470
2020,12,25,16,48,05,1.2,38.37541,22.02033,6.465
2020,12,25,16,49,10,1.5,38.38312,21.99511,7.207
2020,12,25,18,01,40,0.9,38.37930,22.00934,6.464
2020,12,25,18,33,42,1.1,38.37594,21.99627,6.790
2020,12,25,18,52,51,2.3,38.37405,22.02216,6.568
2020,12,25,19,05,13,1.2,38.38797,21.99046,6.793
2020,12,25,20,07,27,2.0,38.37635,22.02251,6.415
2020,12,25,20,41,48,1.6,38.37519,22.02256,6.502
2020,12,25,21,00,15,1.4,38.37534,22.02108,6.482
2020,12,25,21,33,33,1.4,38.37551,22.01949,6.541
2020,12,25,21,38,36,1.4,38.38187,22.02526,7.537
2020,12,25,23,01,16,1.1,38.37362,22.01713,6.607
2020,12,25,23,03,21,1.2,38.37911,22.02300,6.635
2020,12,25,23,36,44,1.9,38.38179,22.02459,7.526
2020,12,26,00,15,54,1.6,38.38219,22.02676,7.467
2020,12,26,00,17,44,1.7,38.39158,21.99846,8.364
2020,12,26,00,35,55,1.3,38.37829,22.02465,6.642
2020,12,26,01,16,06,1.2,38.38161,22.01269,7.531
2020,12,26,02,15,48,1.3,38.38275,22.01272,7.420
2020,12,26,03,27,22,1.0,38.38577,22.00229,6.630
2020,12,26,03,28,36,1.5,38.38258,22.01566,7.313
2020,12,26,03,38,23,1.4,38.37674,22.02329,6.665
2020,12,26,04,50,09,1.6,38.37436,21.99807,6.745
2020,12,26,06,34,04,1.8,38.37725,22.02440,6.403
2020,12,26,06,55,25,1.5,38.37611,22.02433,6.448
2020,12,26,07,25,04,1.5,38.37709,22.02569,6.421
2020,12,26,07,54,26,2.3,38.37864,22.02298,6.791
2020,12,26,08,17,52,2.3,38.37572,22.01917,6.486
2020,12,26,08,22,51,2.5,38.37637,21.99543,6.925
2020,12,26,10,19,40,0.7,38.37628,22.02038,6.440
2020,12,26,10,55,22,1.2,38.37501,22.01788,6.562
2020,12,26,11,54,17,1.5,38.38343,22.02151,7.333
2020,12,26,12,50,02,1.5,38.37975,22.02514,6.934
2020,12,26,12,54,28,1.8,38.37273,22.01774,6.563
2020,12,26,14,26,23,1.4,38.37413,22.01621,6.633
2020,12,26,14,34,48,1.1,38.38167,22.01302,7.498
2020,12,26,14,51,32,1.6,38.37810,22.02515,6.490
2020,12,26,15,16,50,1.9,38.37308,22.01517,6.613
2020,12,26,15,46,05,2.8,38.37637,22.01529,6.542
2020,12,26,15,56,13,1.4,38.37681,22.01737,6.537
2020,12,26,16,04,22,1.7,38.37533,22.02460,6.486
2020,12,26,16,06,22,1.4,38.37409,22.02497,6.550
2020,12,26,16,18,11,1.7,38.37806,22.01556,6.800
2020,12,26,16,38,49,2.1,38.37682,22.02884,6.787
2020,12,26,16,51,53,1.5,38.38787,22.01577,7.488
2020,12,26,17,37,04,1.9,38.37450,22.01881,6.428
2020,12,26,17,48,14,1.2,38.37475,22.01902,6.437
2020,12,26,18,04,06,1.4,38.37846,22.02166,6.562
2020,12,26,18,46,43,1.7,38.37713,22.01728,6.561
2020,12,26,19,12,45,1.3,38.37489,22.01969,6.442
