Time ID,Magnitude,Station Count,Author,Publication Time
2016-06-22T04:04:27.972000Z,1.3626586047189826,8,University Potsdam,2019-09-17T15:34:06.444333Z
2016-06-22T04:24:50.650000Z,2.036613764649001,5,University Potsdam,2019-09-17T15:34:12.485962Z
2016-06-22T05:07:48.966000Z,1.6370150049178718,13,University Potsdam,2019-09-17T15:34:18.977679Z
2016-06-22T06:15:21.361000Z,0.9299043705542127,7,University Potsdam,2019-09-17T15:34:25.202087Z
2016-06-22T07:25:32.754000Z,0.8596796047492403,5,University Potsdam,2019-09-17T15:34:31.323186Z
2016-06-22T08:00:23.192000Z,3.648679451266811,12,University Potsdam,2019-09-17T15:34:38.449442Z
2016-06-22T08:22:22.270000Z,1.4226166095745936,9,University Potsdam,2019-09-17T15:34:44.529910Z
2016-06-22T10:08:30.420000Z,0.9550088184009367,6,University Potsdam,2019-09-17T15:34:50.698736Z
2016-06-22T11:19:37.296000Z,2.0199125324897356,11,University Potsdam,2019-09-17T15:34:57.295735Z
2016-06-22T12:31:09.649000Z,2.346020352678363,13,University Potsdam,2019-09-17T15:35:03.947679Z
2016-06-22T13:38:51.122000Z,3.883447129132481,12,University Potsdam,2019-09-17T15:35:10.268029Z
2016-06-22T20:03:23.890000Z,2.8016501061981067,13,University Potsdam,2019-09-17T15:35:23.925236Z
2016-06-22T21:01:29.166000Z,0.7911353579804734,5,University Potsdam,2019-09-17T15:35:29.990967Z
2016-06-22T23:17:18.314000Z,2.9422711586818657,12,University Potsdam,2019-09-17T15:35:36.588241Z
2016-06-22T23:25:40.794000Z,0.8102069926010813,6,University Potsdam,2019-09-17T15:35:42.561562Z
2016-06-23T02:22:26.498000Z,1.7053204176308636,13,University Potsdam,2019-09-17T15:35:49.262982Z
2016-06-23T06:48:36.316000Z,3.4777276969523454,12,University Potsdam,2019-09-17T15:36:02.701538Z
2016-06-23T07:39:29.473000Z,2.461311691999721,13,University Potsdam,2019-09-17T15:36:09.315000Z
2016-06-23T08:46:07.266000Z,2.4307173756204365,13,University Potsdam,2019-09-17T15:36:15.906523Z
2016-06-23T11:54:31.610000Z,2.612403536468406,7,University Potsdam,2019-09-17T15:36:30.023788Z
2016-06-23T21:00:47.725000Z,2.457752645747142,13,University Potsdam,2019-09-17T15:36:43.177548Z
